ResponseId,sample_1,weight_complete_only,weight_complete_partials,Finished,Enter,YearsWorked,NTEE_1,NTEE_2,NTEE_3,NTEE_4,NTEE_5,NTEE_6,NTEE_7,NTEE_8,NTEE_9,NTEE_10,NTEE_11,NTEE_12,NTEE_13,NTEE_14,NTEE_15,NTEE_16,NTEE_17,NTEE_18,NTEE_19,NTEE_20,NTEE_21,NTEE_22,NTEE_23,NTEE_24,NTEE_25,NTEE_26,NTEEconf,GeoAreas_1,GeoAreas_2,GeoAreas_3,GeoAreas_4,GeoAreas_5,GeoAreas_6,GeoAreas_7,GeoAreas_8,GeoAreas_9,RuralUrban_1,RuralUrban_2,RuralUrban_3,RuralUrban_4,ProgDem_1,ProgDem_2,ProgDem_3,ProgDem_4,ProgDem_5,ProgDem_6,ProgDem_7,ProgDem_8,ProgDem_9,ProgDem_10,ProgDem_11,ProgDem_12,ProgDem_13,ProgDem_14,ProgDem_15,ProgDem_16,ProgDem_17,ProgDem_18,ProgDem_19,ProgDem_20,ProgDem_21,PeopleServed_1_1_1,PeopleServed_1_2_1,PeopleServed_2_1_1,PeopleServed_2_2_1,PeopleServed_3_1_1,PeopleServed_3_2_1,MeetDemand,ProgLocations_1,ProgLocations_2,NLocations,LocChanges,Staff_1_1_1,Staff_1_2_1,Staff_1_3_1,Staff_1_4_1,Staff_1_5_1,Staff_1_6_1,Staff_1_7_1,Staff_2_1_1,Staff_2_2_1,Staff_2_3_1,Staff_2_4_1,Staff_2_5_1,Staff_2_6_1,Staff_2_7_1,Staff_3_1_1,Staff_3_2_1,Staff_3_3_1,Staff_3_4_1,Staff_3_5_1,Staff_3_6_1,Staff_3_7_1,Staff_4_1_1,Staff_4_2_1,Staff_4_3_1,Staff_4_4_1,Staff_4_5_1,Staff_4_6_1,Staff_4_7_1,VolImportance,DonImportance,FRpercents_1,FRpercents_2,FRmajgift_1,FRchanges_1_1,FRchanges_1_2,FRchanges_1_3,FRchanges_1_4,FRchanges_1_5,FRchanges_1_6,FRchanges_1_7,FRchanges_1_8,FRchanges_1_9,FRchanges_1_10,FRchanges_1_11,FRchanges_1_12,FRchanges_2_1,FRchanges_2_2,FRchanges_2_3,FRchanges_2_4,FRchanges_2_5,FRchanges_2_6,FRchanges_2_7,FRchanges_2_8,FRchanges_2_9,FRchanges_2_10,FRchanges_2_11,FRchanges_2_12,FY,Funding1_1_1_1,Funding1_1_2_1,Funding1_1_3_1,Funding1_1_4_1,Funding1_1_5_1,Funding1_1_6_1,Funding1_1_7_1,Funding1_1_8_1,Funding1_1_9_1,Funding1_1_10_1,Funding1_2_1_1,Funding1_2_2_1,Funding1_2_3_1,Funding1_2_4_1,Funding1_2_5_1,Funding1_2_6_1,Funding1_2_7_1,Funding1_2_8_1,Funding1_2_9_1,Funding1_2_10_1,Funding2_1_1_1,Funding2_1_2_1,Funding2_1_3_1,Funding2_1_4_1,Funding2_1_5_1,Funding2_1_6_1,Funding2_1_7_1,Funding2_1_8_1,Funding2_1_9_1,Funding2_1_10_1,Funding2_1_11_1,Funding2_1_12_1,Funding2_1_13_1,Funding2_1_14_1,Finances_1_1_1,Finances_1_2_1,Finances_1_3_1,Finances_1_4_1,Finances_1_5_1,Finances_1_6_1,Finances_1_7_1,Finances_1_8_1,Finances_2_1_1,Finances_2_2_1,Finances_2_3_1,Finances_2_4_1,Finances_2_5_1,Finances_2_6_1,Finances_2_7_1,Finances_2_8_1,Finances_3_1_1,Finances_3_2_1,Finances_3_3_1,Finances_3_4_1,Finances_3_5_1,Finances_3_6_1,Finances_3_7_1,Finances_3_8_1,Finances_4_1_1,Finances_4_2_1,Finances_4_3_1,Finances_4_4_1,Finances_4_5_1,Finances_4_6_1,Finances_4_7_1,Finances_4_8_1,CEOrace,CEOgender,BCrace,BCgender,CEOBCdem_1_1,CEOBCdem_1_2,CEOBCdem_2_1,CEOBCdem_2_2,CEOBCdem_3_1,CEOBCdem_3_2,BoardStaffDEM_1_1,BoardStaffDEM_1_2,BoardStaffDEM_1_3,BoardStaffDEM_1_4,BoardStaffDEM_1_5,BoardStaffDEM_1_6,BoardStaffDEM_1_7,BoardStaffDEM_2_1,BoardStaffDEM_2_2,BoardStaffDEM_2_3,BoardStaffDEM_2_4,BoardStaffDEM_2_5,BoardStaffDEM_2_6,BoardStaffDEM_2_7,DemChange,Reserves_1_1_1,Reserves_2_1_1,Reserves_3_1_1,PPP2020,PPP2020b_1_1_1,PPP2020b_2_1_1,PPP2020b_3_1_1,PPP2021,PPP2021b_1,FinanceChanges_1,FinanceChanges_2,FinanceChanges_3,FinanceChanges_4,FinanceChanges_5,FinanceChanges_6,FinanceChanges_7,ProgChanges_1,ProgChanges_2,ProgChanges_3,ProgChanges_4,ProgChanges_5,ProgChanges_6,ProgChanges_7,ProgChanges_8,ProgChanges_9,ProgChanges_10,ProgChanges_11,ProgChanges_12,FRchanges_1,FRchanges_2,FRchanges_3,FRchanges_4,Drawing,PeopleServed_3_1,PeopleServed_3_2,Staff_4_1,Staff_4_2,Staff_4_3,Staff_4_4,Staff_4_5,Staff_4_6,Staff_4_7,Reserves_3_1,StaffChanges_1,StaffChanges_2,StaffChanges_3,StaffChanges_4,StaffChanges_5,StaffChanges_6,StaffChanges_7,StaffChanges_8,StaffChanges_9,StaffChanges_10,OpsChanges_1,OpsChanges_2,OpsChanges_3,OpsChanges_4,OpsChanges_5,OpsChanges_6,Assistance_1,Assistance_2,Assistance_3,Assistance_4,Assistance_5,Assistance_6,Assistance_7,Assistance_8,StaffChanges21_1,StaffChanges21_2,StaffChanges21_3,StaffChanges21_4,StaffChanges21_5,StaffChanges21_6,StaffChanges21_7,StaffChanges21_8,StaffChanges21_98,ExtAffairs_1_1,ExtAffairs_1_2,ExtAffairs_1_3,ExtAffairs_1_4,ExtAffairs_1_5,ExtAffairs_1_6,ExtAffairs_1_7,ExtAffairs_1_8,ExtAffairs_1_9,ExtAffairs_1_10,ExtAffairs_1_11,ExtAffairs_1_12,ExtAffairs_2_1,ExtAffairs_2_2,ExtAffairs_2_3,ExtAffairs_2_4,ExtAffairs_2_5,ExtAffairs_2_6,ExtAffairs_2_7,ExtAffairs_2_8,ExtAffairs_2_9,ExtAffairs_2_10,ExtAffairs_2_11,ExtAffairs_2_12,FullyComplete,lastsection,SizeStrata,SizeStrata1,SizeStrata2,SizeStrata3,SizeStrata4,SizeStrata5,CensusRegion9,CensusRegion4,ntmaj5,subsector,sector1,sector2,sector3,sector4,sector5,MAV_zip_rural,MAV_ziptostate_medHHinc,MAV_ziptostate_LOWinc,mav_ziptostate_medlowinc,MAV_ziptostate_MEDHIGHinc,MAV_ziptostate_HIGHinc,MAV_ziptostate_categories,mainORprog_zip_rural,MAV_Urban_Rural_Oth_NCHS_FORHP,MAV_UrbRurOthNCHSFORHP_UrbanCore,MAV_UrbRurOthNCHSFORHP_NonUrbanC,MAV_UrbRurOthNCHSFORHP_Rural,MAV_Urban_Rural_Oth_cat,mainORprog_ziptostate_LOWinc
R_yqdmdRcIxAidUgV,0,1.208273516,1.1828287924,1,1,7,-99,1,1,-99,-99,-99,-99,-99,-99,1,1,1,1,1,1,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,1,-99,1,-99,-99,-99,1,2,2,0,0,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,-99,4500,10,1000,4500,-99,-99,1,1,-99,,1,5,100,20,50,0,0,-99,3,2,12,0,0,0,-99,6,120,25,50,0,0,-99,-99,-99,-99,-99,-99,-99,-99,3,1,60,40,500,5,5,5,5,3,3,3,3,3,4,4,3,4,4,5,5,3,3,3,3,2,4,5,3,1,-99,1,-99,-99,-99,-99,1,1,1,1,-99,1,-99,-99,-99,-99,1,1,1,1,1,-99,-99,-99,1,-99,-99,-99,-99,-99,1,1,-99,-99,15428.015051,670843.47943,-99,9981.6421195,5481.4426572,14652.152254,-99,-99,15298.481285,117252.86929,-99,20210.374272,5535.2741545,15099.979082,-99,-99,14744.280593,549044.53071,-99,15074.435168,5602.3923635,15147.973306,-99,-99,-99,-99,1,-99,-99,-99,1,-99,5,1,5,1,0,0,0,0,3,2,1,7,2,1,2,3,9,2,8,4,3,5,9,9,1,509513.28391,243132.62285,-99,1,89894.271705,90495.05827,12,1,121596.13291,0,1,0,0,0,1,-99,1,0,1,1,0,1,0,1,0,0,0,-99,1,0,1,-99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"$500,000-$999,999",0,0,1,0,0,1: New England,1: Northeast,HU,HU,0,0,0,1,0,1,1.190617919,0,0,1,0,3,1,3-Rural,0,0,1,3-Rural,0
R_UzhOKFIiMZYtk3L,0,1.4343753327,1.2575523674,1,1,2,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,2,1,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,99,99,99,1,2,99,99,99,0,0,0,0,0,0,0,0,0,0,0,0,-99,35,57,38,27,-99,-99,98,-99,-99,,0,70,10,8,4,0,0,-99,70,10,0,0,0,0,-99,70,10,8,7,0,0,-99,-99,-99,-99,-99,-99,-99,-99,3,2,75,25,-99,3,3,3,3,99,3,3,3,99,3,99,99,2,2,2,3,5,3,3,3,99,3,99,99,8,1,-99,1,-99,-99,-99,-99,-99,-99,-99,1,-99,1,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,1,-99,-99,1,-99,-99,-99,0,102488.10687,0,0,0,25034.299214,0,0,101134.12754,100636.16009,0,0,0,194434.78461,0,0,0,100378.58709,0,0,0,25699.384288,0,0,-99,-99,1,1,1,-99,1,-99,5,2,5,2,0,0,0,0,4,7,1,6,98,98,98,1,2,1,11,3,3,7,6,1,0,97085.445073,9972.3645875,-99,1,248476.89434,25563.671411,26,98,,0,0,0,1,1,0,-99,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,-99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"$1 million-$9,999,999",0,0,0,1,0,1: New England,1: Northeast,HU,HU,0,0,0,1,0,1,1.2855210304,0,0,1,0,3,1,3-Rural,0,0,1,3-Rural,0
R_1LM3RDwqI9diaKG,0,1.4304388821,1.3282488972,1,1,16,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,1,-99,-99,-99,-99,-99,1,-99,-99,-99,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,-99,-99,-99,-99,1,1,98,1,-99,,0,4,3,4,5,-99,-99,-99,4,4,4,5,-99,-99,-99,4,6,2,2,-99,-99,-99,-99,-99,-99,-99,1,1,-99,3,1,80,20,1000,4,3,3,3,3,3,3,99,3,3,3,3,2,3,2,2,1,3,3,99,3,3,5,5,1,-99,1,1,-99,-99,-99,1,1,1,-99,-99,1,1,-99,-99,-99,1,1,1,1,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,1,-99,-99,-99,-99,-99,-99,48526.237345,4892.4560006,974.51079692,2426.7524318,-99,101618.87809,-99,-99,50579.680587,5007.4851895,1029.2956217,2545.8022659,-99,61513.146681,-99,-99,50374.202061,5121.5024053,993.34213919,2540.5962692,-99,-99,1,1,-99,-99,-99,-99,-99,5,2,5,2,0,0,0,0,4,7,1,10,98,5,4,2,98,1,11,98,5,6,6,98,98,1019731.9412,758680.18623,-99,1,36776.670502,34952.550492,8,1,37954.175674,1,0,99,99,1,0,-99,1,0,0,1,0,1,0,0,0,0,0,-99,0,0,0,-99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"$100,000-$499,999",0,1,0,0,0,1: New England,1: Northeast,OT,OT,0,0,0,0,1,1,1.190617919,0,0,1,0,3,1,3-Rural,0,0,1,3-Rural,0
R_2YuoLFPkz4EbIyF,0,0,0.7823873184,0,1,9,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,2,-99,-99,-99,1,-99,-99,-99,-99,-99,1,1,1,-99,2,2,1,1,1,1,1,1,1,1,1,1,1,99,1,1,1,1,1,1,-99,5000,-99,5000,-99,-99,1,98,-99,1,2,0,2,2,20,30,-99,3,-99,2,2,20,30,-99,5,-99,2,3,20,30,-99,7,-99,-99,-99,-99,-99,1,-99,-99,3,2,50,50,500,5,5,5,4,98,4,4,99,3,3,5,5,4,4,4,5,98,5,2,99,3,3,5,5,1,1,1,1,-99,-99,-99,1,1,1,-99,-99,1,-99,-99,-99,-99,1,1,1,-99,1,-99,-99,-99,1,-99,1,-99,-99,-99,1,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,"$100,000-$499,999",0,1,0,0,0,1: New England,1: Northeast,AR,AR,1,0,0,0,0,0,1.205214262,0,0,1,0,3,0,"2-Non-Urban Core, Non-Rural",0,1,0,"2-Non-Urban Core, Non-Rural",0
R_6fJBc4hAlaNiJC9,0,1.3825196893,1.2493160734,1,1,16,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,2,-99,1,-99,-99,-99,-99,-99,-99,1,1,1,-99,-99,2,1,1,1,2,1,1,1,0,0,0,2,0,0,0,1,1,0,2,1,-99,1700,0,800,0,-99,-99,1,1,1,1,0,3,1,100,100,-99,2,-99,3,1,10,5,-99,2,-99,3,1,100,100,-99,2,-99,-99,-99,-99,-99,1,-99,-99,1,1,95,5,250,3,2,3,3,3,3,3,4,3,4,3,3,4,4,5,5,2,3,3,4,3,3,5,4,7,-99,1,1,-99,-99,-99,1,1,-99,-99,-99,1,1,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,1,1,1,1,1,-99,1,-99,-99,-99,0,0,0,187744.9128,-99,29183.883674,9925.8014073,50161.901416,35015.632636,0,0,150160.30987,-99,44793.81775,10158.187904,39391.66569,72111.896821,-99,-99,153870.81994,-99,50333.592509,9823.3259893,40421.186153,-99,-99,-99,-99,-99,-99,-99,-99,5,2,5,1,0,0,0,0,5,5,1,7,2,1,1,1,4,1,12,4,1,4,1,4,0,5907.2502447,39691.116278,-99,1,35428.601146,35002.93455,4,1,42578.883934,0,0,0,0,0,0,-99,1,1,1,1,1,0,0,0,0,1,1,-99,1,0,1,-99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"$100,000-$499,999",0,1,0,0,0,1: New England,1: Northeast,HU,HU,0,0,0,1,0,1,1.0245738029,0,0,1,0,3,1,3-Rural,0,0,1,3-Rural,0
R_egkQerlbWpu9IpX,0,0.8910097946,0.7875453181,1,1,7,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,1,-99,-99,-99,1,1,-99,1,1,-99,-99,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-99,40000,-99,30000,-99,-99,1,1,1,1,1,1,15,4,0,20,0,0,-99,14,2,0,20,0,1,-99,15,4,0,20,0,1,-99,-99,-99,-99,-99,-99,-99,-99,3,1,75,25,1000,3,3,3,3,98,3,3,3,3,3,3,3,4,4,4,5,98,4,5,4,3,4,2,3,9,1,1,1,-99,-99,-99,1,1,1,-99,1,1,1,-99,-99,-99,1,1,1,-99,1,-99,1,1,1,-99,1,-99,-99,-99,1,-99,-99,1,50877.567954,68636.723097,-99,97422.08426,7960.5999827,9840.9378094,55460.427167,-99,100728.01923,75998.758149,-99,99779.203486,8136.0333134,9858.956947,65277.530271,-99,100781.75426,75032.331103,-99,140128.16911,7861.2881236,25588.089068,42704.011535,-99,-99,-99,1,-99,-99,-99,-99,1,5,2,5,1,0,0,0,0,4,6,2,5,3,98,3,1,12,2,8,5,98,5,6,12,1,100408.57585,77083.823739,-99,1,149739.00943,145814.29472,14,1,97605.684188,1,0,0,0,0,1,-99,1,0,0,98,98,1,0,0,1,1,1,-99,1,0,1,-99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"$1 million-$9,999,999",0,0,0,1,0,1: New England,1: Northeast,AR,AR,1,0,0,0,0,0,0.8622282147,0,1,0,0,2,0,"2-Non-Urban Core, Non-Rural",0,1,0,"2-Non-Urban Core, Non-Rural",0
R_YYwEdiPsdNkDVmh,0,1.1956168045,1.1157482208,1,1,11,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,1,1,1,1,-99,,0,2,0,8,8,0,0,-99,2,0,8,8,0,0,-99,2,0,8,8,0,0,-99,-99,-99,-99,-99,-99,-99,-99,99,4,30,70,-99,5,4,5,99,99,99,99,99,99,4,99,99,1,1,1,99,99,99,99,99,99,1,99,99,7,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,1,-99,-99,-99,1,-99,-99,-99,249027.9734,1986.0006203,-99,-99,-99,-99,10272.496974,-99,230401.69163,586.47380213,-99,-99,-99,-99,1019.7239531,-99,233229.6798,1518.7214293,-99,-99,-99,-99,7994.5418843,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,2,1,2,0,0,0,0,5,4,3,3,98,1,98,1,6,1,12,1,1,1,1,1,0,29177.104044,30020.998861,-99,0,,,,0,,1,0,0,0,0,1,-99,0,0,1,1,0,0,0,0,0,1,1,0,-99,0,1,-99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"$100,000-$499,999",0,1,0,0,0,1: New England,1: Northeast,OT,OT,0,0,0,0,1,0,1.7607396841,0,0,0,1,4,0,"2-Non-Urban Core, Non-Rural",0,1,0,"2-Non-Urban Core, Non-Rural",0
R_1N5j1dZYRbXKYql,0,1.017158925,0.9199756706,1,1,9,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,1,-99,-99,-99,-99,-99,-99,1,1,-99,-99,2,-99,1,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10000,-99,3000,-99,-99,1,0,1,-99,,1,4,1,35,-99,0,1,-99,4,1,10,-99,-99,-99,-99,4,1,35,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,65,35,10000,5,4,3,5,4,4,4,5,4,5,5,5,1,1,1,1,1,1,1,1,3,3,5,2,7,1,1,1,-99,-99,-99,1,-99,1,-99,1,1,1,-99,-99,-99,1,-99,1,-99,-99,-99,-99,-99,1,-99,1,-99,-99,-99,1,-99,-99,-99,25392.244072,-99,-99,49864.020725,2444.8383322,50216.187372,51132.560009,-99,175962.71522,-99,-99,34987.649406,0,20564.611874,34813.650411,-99,24737.904213,-99,-99,49916.532178,3014.4757969,64928.923645,63609.684229,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,1,5,1,0,0,0,0,4,5,1,7,1,2,1,2,1,1,9,1,1,2,1,1,1,35988.908999,71738.059107,-99,1,35530.898922,35358.978078,4.5,1,34721.755156,-99,1,99,99,0,1,-99,0,1,1,0,1,0,0,0,0,1,1,-99,1,1,0,-99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"$100,000-$499,999",0,1,0,0,0,1: New England,1: Northeast,AR,AR,1,0,0,0,0,1,1.011366725,0,0,1,0,3,1,3-Rural,0,0,1,3-Rural,0
R_1reUsOL5mpINnfc,0,1.017158925,0.9199756706,1,1,12,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,2,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,1,99,3500,-99,1500,-99,-99,1,0,-99,1,1,0,-99,2,12,30,0,0,-99,-99,2,12,12,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,90,10,125,3,4,99,1,98,98,98,98,3,3,3,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,-99,-99,-99,-99,-99,-99,1,1,1,-99,-99,-99,-99,-99,-99,-99,1,1,1,-99,1,-99,-99,-99,1,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,27347.15034,36747.746494,-99,23779.19341,-99,-99,-99,-99,23546.93107,27582.505167,-99,22.090096341,-99,-99,-99,-99,24195.963681,30307.653433,-99,23768.873095,1,1,1,1,-99,-99,1,-99,5,2,5,2,98,0,0,0,5,4,1,7,1,1,7,3,9,1,6,1,1,5,1,5,98,-99,-99,-99,98,,,,98,,1,0,1,99,0,1,99,0,1,1,0,1,0,0,0,1,1,1,99,1,1,0,99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"$100,000-$499,999",0,1,0,0,0,1: New England,1: Northeast,AR,AR,1,0,0,0,0,1,1.3469192982,0,0,1,0,3,1,3-Rural,0,0,1,3-Rural,0
R_1nTOLgnA4tU2m0I,0,0.7505591548,0.7407494922,1,1,9,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,1,-99,-99,1,-99,-99,-99,1,1,1,1,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60000,-99,11000,-99,-99,1,1,-99,1,1,1,5,2,70,400,0,1,-99,2,1,15,10,0,0,-99,4,2,25,300,0,0,-99,-99,-99,-99,-99,1,-99,-99,1,2,80,20,-99,5,5,4,3,4,4,4,5,5,5,2,2,2,1,3,3,3,3,3,2,2,1,2,2,4,-99,1,1,-99,-99,-99,1,1,-99,-99,-99,1,1,-99,-99,-99,1,1,-99,-99,1,-99,-99,-99,-99,-99,1,1,-99,-99,1,1,-99,-99,0,15385.477801,-99,179966.19445,187767.8518,9794.2694324,116800.29013,-99,148447.37162,9720.1090263,-99,99534.775241,151687.57761,2529.8387646,14728.471096,-99,505129.59944,14758.49998,-99,145521.29472,200009.33892,5095.2124191,151270.50789,-99,-99,-99,1,-99,-99,-99,-99,1,5,1,5,2,1,0,0,0,4,6,1,1,6,1,1,7,1,1,1,6,1,1,6,1,1,567443.43945,199405.55925,-99,1,49497.028041,49660.49561,5,1,49980.078128,0,1,0,1,1,0,-99,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,-99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"$500,000-$999,999",0,0,1,0,0,1: New England,1: Northeast,AR,AR,1,0,0,0,0,0,1.205214262,0,0,1,0,3,0,"2-Non-Urban Core, Non-Rural",0,1,0,"2-Non-Urban Core, Non-Rural",0
